Employee_ID,Name,Date_of_Birth,Gender,Job,Salary,Date_of_Joining,Performance_Rating,age,Status,Sale_ID,Customer_Name,Product,Quantity,Price,Sale_Date,Region
101,Ali,1990-05-12 00:00:00,M,Engineer,50000.0,2016-07-01 18:40:00,3.0,34,Good,201,Ahmed,Laptop,1.0,1200,2024-01-10 00:00:00,Cairo
101,Ali,1990-05-12 00:00:00,M,Engineer,50000.0,2016-07-01 18:40:00,3.0,34,Good,208,Ahmed,Laptop,1.0,1200,2024-01-12 00:00:00,Cairo
102,Sara,1988-09-23 00:00:00,F,Manager,70000.0,2016-07-01 18:40:00,5.0,36,Excellent,202,Zara,Phone,2.0,800,2024-01-12 00:00:00,Alex
102,Sara,1988-09-23 00:00:00,F,Manager,70000.0,2016-07-01 18:40:00,5.0,36,Excellent,210,Zara,Phone,3.0,800,2024-01-25 00:00:00,Alex
103,John,1992-09-03 08:00:00,M,Technician,-45000.0,2016-07-01 18:40:00,2.0,32,Needs Improvement,203,Omar,Tablet,1.0,500,2024-01-15 00:00:00,Giza
103,John,1992-09-03 08:00:00,M,Technician,-45000.0,2016-07-01 18:40:00,2.0,32,Needs Improvement,209,Ali,Tablet,1.0,500,2024-01-15 00:00:00,Giza
104,Mina,1995-07-19 00:00:00,F,Engineer,30000.0,2016-07-01 18:40:00,4.0,29,Excellent,204,Ahmed,Laptop,3.0,-100,2024-01-15 16:00:00,Cairo
105,Ali,1993-06-30 00:00:00,M,Clerk,50555.555555555555,2016-07-01 18:40:00,1.0,31,Needs Improvement,205,Layla,Headphones,1.0,200,2024-01-20 00:00:00,Alex
106,David,2000-02-29 00:00:00,M,Engineer,60000.0,2016-07-01 18:40:00,3.0,24,Good,206,Kareem,Phone,1.6666666666666667,800,2024-01-22 00:00:00,Alex
107,Noor,1992-11-15 00:00:00,F,HR,80000.0,2016-07-01 18:40:00,3.111111111111111,32,Excellent,207,Omar,Laptop,2.0,1200,2024-01-10 00:00:00,Giza
